"binIndex","quantityOfComponents","minSizeInBin","maxSizeInBin"
"1","19197","2","3"
"2","3361","4","7"
"3","742","8","15"
"4","174","16","31"
"5","33","32","63"
"6","16","66","124"
"7","3","129","251"
"16","1","101728","101728"
