"binIndex","quantityOfCommunities","minSizeInBin","maxSizeInBin"
"1","147","2","3"
"2","12","4","7"
"3","2","10","11"
"4","1","18","18"
"5","1","61","61"
"7","1","181","181"
"8","1","471","471"
"9","1","948","948"
"10","3","1271","2022"
"11","2","2211","2336"
"12","3","4904","6225"
"14","1","27282","27282"
