WCCcomponentID,channels_count,chat_count,message_count,duration_seconds,timestamp_start,timestamp_end
99294,1,70,282,13997848,1628809137,1642806985
98915,1,31,193,3123808,1632318874,1635442682
98941,1,16,70,12045564,1632744837,1644790401
99019,1,26,121,310348,1634816960,1635127308
99142,1,39,115,32777659,1636205359,1668983018
99517,1,94,345,69036644,1638223390,1707260034
99401,1,41,153,26909616,1640602890,1667512506
99682,1,39,123,15413670,1645447251,1660860921
99703,1,117,341,31756300,1645795718,1677552018
99829,1,55,145,4731431,1648176532,1652907963
99871,1,32,131,27868576,1648942309,1676810885
99908,1,20,70,2945461,1649888181,1652833642
99931,1,17,75,1783307,1650231435,1652014742
99956,1,38,116,1678244,1650801589,1652479833
100115,1,21,71,9756277,1653617239,1663373516
100162,1,48,219,15987145,1654527984,1670515129
100177,1,22,50,4485997,1654806255,1659292252
100252,1,21,50,501846,1656619666,1657121512
101549,1,63,172,87184404,1660174112,1747358516
100392,1,51,160,26807578,1660502537,1687310115
100469,1,16,46,355911,1662313792,1662669703
100805,1,21,52,816246,1671323705,1672139951
100953,1,18,82,4490945,1674939354,1679430299
101219,1,17,41,546283,1679842855,1680389138
101240,1,16,57,2189612,1680019149,1682208761
101262,1,34,82,2760941,1680548752,1683309693
101973,1,17,50,32944400,1683637177,1716581577
101500,1,104,282,62995058,1686057569,1749052627
101709,1,129,322,52511962,1693340822,1745852784
101764,1,28,72,41023850,1696101888,1737125738
101905,1,22,44,10717623,1706402345,1717119968
102051,1,21,75,32382674,1714157152,1746539826
102113,1,16,40,20225050,1716565431,1736790481
102244,1,17,33,5949399,1720475833,1726425232
102347,1,22,65,1553353,1725036031,1726589384
102590,1,24,55,7839672,1732741252,1740580924
104280,1,22,25,1901170,1687117238,1689018408
107509,1,42,177,6640701,1714789237,1721429938
134465,1,19,423,330675,1603722643,1604053318
135242,1,20,382,491575,1618442886,1618934461
135425,1,20,512,656028,1620915407,1621571435
142024,1,29,207,1055477,1685656430,1686711907
143477,1,18,56,419877,1747343972,1747763849
143539,1,16,95,72034865,1673906198,1745941063
143569,1,95,435,68119629,1675387874,1743507503
144044,1,23,133,4108285,1693494402,1697602687
